Crops,EC 0-15,Temperature,Fertility,Saturation ,Soil Type
COTTON - 22,2.45,0.93,180,38,LOAM
COTTON - 22,2.18,0.83,230,34,LOAM
COTTON - 22,2.18,0.78,180,36,LOAM
COTTON - 22,2.26,0.72,210,36,LOAM
COTTON - 22,2.31,0.83,160,34,LOAM
COTTON - 22,2.2,0.93,200,36,LOAM
COTTON - 22,2.44,0.98,210,34,LOAM
COTTON - 22,2.41,0.83,230,36,LOAM
COTTON - 22,2.38,0.93,180,34,LOAM
COTTON - 22,2.43,0.88,190,36,LOAM
COTTON - 22,2.46,0.83,180,38,LOAM
COTTON - 22,2.45,0.93,230,40,LOAM
COTTON - 22,2.35,0.88,190,36,LOAM
COTTON - 22,2.48,0.88,200,38,LOAM
COTTON - 22,2.47,1.03,150,36,LOAM
COTTON - 22,2.48,0.93,150,34,LOAM
COTTON - 22,2.46,0.67,170,36,LOAM
COTTON - 22,2.41,0.78,160,32,LOAM
COTTON - 22,2.37,0.83,170,36,LOAM
COTTON - 22,2.48,0.83,130,40,LOAM
COTTON - 22,2.49,0.88,160,40,LOAM
COTTON - 22,2.41,0.78,230,38,LOAM
COTTON - 22,2.43,0.78,170,38,LOAM
COTTON - 22,2.47,0.88,190,36,LOAM
COTTON - 22,2.36,0.83,210,34,LOAM
COTTON - 22,2.4,1.03,230,36,LOAM
COTTON - 22,2.39,1.03,190,38,LOAM
COTTON - 22,2.4,0.67,160,36,LOAM
COTTON - 22,2.38,1.03,200,34,LOAM
COTTON - 22,2.48,0.83,250,34,LOAM
COTTON - 22,2.43,1.03,200,36,LOAM
COTTON - 22,2.46,0.72,200,36,LOAM
COTTON - 22,2.43,0.98,270,36,LOAM
COTTON - 22,2.4,0.83,210,34,LOAM
SESAMUM - 8,1.93,0.98,220,36,LOAM
SESAMUM - 8,1.98,0.72,190,36,LOAM
SESAMUM - 8,2.03,0.72,160,32,LOAM
SESAMUM - 8,1.94,0.93,170,34,LOAM
SESAMUM - 8,1.97,0.72,180,36,LOAM
SESAMUM - 8,2.04,1.03,200,38,LOAM
SESAMUM - 8,1.98,0.78,230,36,LOAM
SESAMUM - 8,1.93,0.98,240,38,LOAM
SESAMUM - 8,1.99,0.98,200,36,LOAM
SESAMUM - 8,2.06,0.93,200,38,LOAM
SESAMUM - 8,2.05,0.88,190,36,LOAM
SESAMUM - 8,1.96,0.72,200,34,LOAM
SESAMUM - 8,1.95,0.78,180,36,LOAM
SESAMUM - 8,2.07,0.78,210,34,LOAM
SESAMUM - 8,1.94,0.83,230,36,LOAM
SESAMUM - 8,2.06,0.93,190,36,LOAM
SESAMUM - 8,2.03,1.03,200,38,LOAM
SESAMUM - 8,1.7,0.93,160,36,LOAM
SESAMUM - 8,1.76,0.78,140,34,LOAM
SESAMUM - 8,1.69,0.88,150,34,LOAM
SESAMUM - 8,1.77,0.83,170,32,LOAM
SESAMUM - 8,1.87,0.88,180,32,LOAM
SESAMUM - 8,1.83,0.93,190,34,LOAM
SESAMUM - 8,1.68,0.83,150,36,LOAM
SESAMUM - 8,1.68,0.67,130,36,LOAM
SESAMUM - 8,1.8,0.78,150,38,LOAM
SESAMUM - 8,1.87,0.88,180,38,LOAM
SESAMUM - 8,1.8,0.67,140,38,LOAM
SESAMUM - 8,1.72,0.83,200,38,LOAM
SESAMUM - 8,1.73,0.72,190,36,LOAM
SESAMUM - 8,1.69,0.88,210,36,LOAM
SESAMUM - 8,1.82,0.93,230,34,LOAM
SESAMUM - 8,1.77,0.88,180,34,LOAM
SESAMUM - 8,1.75,0.98,230,36,LOAM
SESAMUM - 8,1.71,1.03,200,34,LOAM
SESAMUM - 8,1.75,0.93,170,36,LOAM
SESAMUM - 8,1.71,0.93,150,36,LOAM
SESAMUM - 8,1.83,1.03,200,38,LOAM
SESAMUM - 8,1.82,0.78,190,36,LOAM
COTTON - 24,2.06,1.03,230,34,LOAM
COTTON - 24,1.98,0.67,210,36,LOAM
COTTON - 24,1.89,1.03,200,36,LOAM
COTTON - 24,1.99,0.93,210,36,LOAM
COTTON - 24,2.02,0.98,170,34,LOAM
COTTON - 24,1.99,0.93,200,32,LOAM
COTTON - 24,1.97,0.83,150,34,LOAM
COTTON - 24,1.96,0.98,170,36,LOAM
COTTON - 24,1.98,0.93,170,36,LOAM
COTTON - 24,2.03,0.88,220,34,LOAM
COTTON - 24,2.01,0.93,180,34,LOAM
COTTON - 24,2.09,0.67,140,36,LOAM
WHEAT - 22,2.22,0.98,210,36,LOAM
RICE - 16,2.59,0.93,190,34,LOAM
RICE - 16,2.27,0.78,220,36,LOAM
RICE - 16,2.76,0.88,200,38,LOAM
RICE - 16,2.29,0.98,180,36,LOAM
RICE - 16,2.39,0.93,150,34,LOAM
RICE - 16,2.54,0.88,200,34,LOAM
RICE - 16,2.21,0.78,170,36,LOAM
