Crops,EC 0-15,Temperature,Fertility,Saturation ,Soil Type
WHEAT- 22,2.72,0.67,110,34,LOAM
WHEAT- 22,2.65,0.52,120,36,LOAM
WHEAT- 22,2.46,0.78,150,32,LOAM
WHEAT- 22,3.47,0.67,130,34,LOAM
WHEAT- 22,2.58,0.57,120,38,LOAM
WHEAT- 22,2.36,0.93,130,36,LOAM
COTTON - 22,1.98,0.88,140,38,LOAM
ARIND - 19,1.87,0.47,230,26,LOAM
SESAMUM - 8,2.17,0.98,210,28,LOAM
MAEZ - 14,2.19,0.67,140,32,LOAM
RICE,2.43,0.57,130,36,LOAM
RICE,2.34,0.57,100,34,LOAM
COTTON-4,2.16,0.62,110,34,LOAM
RICE-25,2.15,0.67,180,34,LOAM
SESAMUM - 8,1.92,0.57,210,32,LOAM
SESAMUM - 8,1.99,0.67,200,34,LOAM
SESAMUM - 8,1.75,0.67,140,32,LOAM
ARIND - 19,1.12,0.57,130,40,LOAM
ARIND - 19,1.03,0.52,110,38,LOAM
ARIND - 19,1.18,0.47,130,34,LOAM
PEPPER - 4,2.29,0.67,160,38,LOAM
PEPPER - 4,2.19,0.78,180,36,LOAM
PEPPER - 4,2.22,0.72,150,38,LOAM
PEPPER - 4,2.34,0.88,190,38,LOAM
PEPPER - 4,2.33,0.88,210,36,LOAM
PEPPER - 4,2.26,0.83,150,34,LOAM
PEPPER - 4,2.32,0.72,140,34,LOAM
PEPPER - 4,2.39,0.78,150,34,LOAM
PEPPER - 4,2.43,0.78,190,36,LOAM
PEPPER - 4,2.38,0.83,150,38,LOAM
PEPPER - 4,2.4,0.78,110,36,LOAM
PEPPER - 4,2.37,0.78,130,38,LOAM
PEPPER - 4,2.41,0.72,160,38,LOAM
PEPPER - 4,2.43,0.67,120,40,LOAM
PEPPER - 4,2.4,0.78,130,38,LOAM
PEPPER - 4,2.29,0.72,140,40,LOAM
PEPPER - 4,2.32,0.78,150,40,LOAM
PEPPER - 4,2.29,0.72,160,38,LOAM
PEPPER - 4,2.3,0.78,110,36,LOAM
PEPPER - 4,2.46,0.88,130,38,LOAM
PEPPER - 4,2.4,0.72,120,36,LOAM
PEPPER - 4,2.48,0.78,130,38,LOAM
PEPPER - 4,2.48,0.72,170,36,LOAM
PEPPER - 4,2.14,0.72,180,34,LOAM
PEPPER - 4,2.43,0.93,200,38,LOAM
PEPPER - 4,2.37,0.78,150,36,LOAM
PEPPER - 4,2.34,0.83,180,40,LOAM
PEPPER - 4,2.43,0.78,140,38,LOAM
PEPPER - 4,2.47,0.72,170,36,LOAM
PEPPER - 4,2.37,0.78,180,38,LOAM
PEPPER - 4,2.48,0.88,140,36,LOAM
PEPPER - 4,2.46,0.67,190,38,LOAM
PEPPER - 4,2.49,0.78,220,40,LOAM
COTTON - 22,2.44,0.88,170,36,LOAM
COTTON - 22,2.29,0.78,190,38,LOAM
COTTON - 22,2.4,0.72,170,38,LOAM
COTTON - 22,2.37,0.67,180,36,LOAM
COTTON - 22,2.4,0.78,150,38,LOAM
COTTON - 22,2.38,0.88,180,36,LOAM
COTTON - 22,2.26,0.83,190,38,LOAM
COTTON - 22,2.28,0.78,200,36,LOAM
COTTON - 22,2.22,0.78,170,38,LOAM
COTTON - 22,2.31,0.83,180,40,LOAM
COTTON - 22,2.24,0.78,160,42,LOAM
COTTON - 22,2.19,0.78,210,38,LOAM
COTTON - 22,2.29,0.83,180,40,LOAM
COTTON - 22,2.26,0.78,170,38,LOAM
COTTON - 22,2.33,0.98,140,36,LOAM
COTTON - 22,2.25,0.83,130,38,LOAM
COTTON - 22,2.27,0.62,120,34,LOAM
COTTON - 22,2.2,0.72,140,38,LOAM
COTTON - 22,2.31,0.78,150,42,LOAM
COTTON - 22,2.3,0.78,110,42,LOAM
COTTON - 22,2.22,0.78,150,40,LOAM
COTTON - 22,2.23,0.72,190,40,LOAM
COTTON - 22,2.24,0.67,150,38,LOAM
COTTON - 22,2.31,0.78,180,36,LOAM
COTTON - 22,2.19,0.78,180,38,LOAM
COTTON - 22,2.21,0.98,200,40,LOAM
COTTON - 22,2.27,0.98,180,38,LOAM
COTTON - 22,2.26,0.67,120,36,LOAM
COTTON - 22,2.33,0.98,200,36,LOAM
COTTON - 22,2.27,0.67,230,38,LOAM
COTTON - 22,2.27,0.67,180,38,LOAM
COTTON - 22,2.44,0.67,180,38,LOAM
COTTON - 22,2.46,0.72,240,36,LOAM
COTTON - 22,1.82,0.78,180,38,LOAM
SESAMUM - 8,1.87,0.93,200,38,LOAM
SESAMUM - 8,1.9,0.72,180,34,LOAM
SESAMUM - 8,1.87,0.67,140,36,LOAM
SESAMUM - 8,1.8,0.83,160,38,LOAM
SESAMUM - 8,1.91,0.67,150,40,LOAM
SESAMUM - 8,1.88,0.98,180,38,LOAM
SESAMUM - 8,1.86,0.72,200,40,LOAM
SESAMUM - 8,1.88,0.78,210,38,LOAM
SESAMUM - 8,1.9,0.93,190,40,LOAM
SESAMUM - 8,1.91,0.83,190,38,LOAM
SESAMUM - 8,1.8,0.78,180,36,LOAM
SESAMUM - 8,1.84,0.67,170,38,LOAM
SESAMUM - 8,1.93,0.67,160,36,LOAM
SESAMUM - 8,1.81,0.72,190,38,LOAM
SESAMUM - 8,1.95,0.78,210,38,LOAM
SESAMUM - 8,1.89,0.88,160,40,LOAM
SESAMUM - 8,1.98,0.98,180,38,LOAM
SESAMUM - 8,1.9,0.88,140,36,LOAM
SESAMUM - 8,1.98,0.72,120,36,LOAM
SESAMUM - 8,1.91,0.78,130,34,LOAM
SESAMUM - 8,1.92,0.72,150,34,LOAM
SESAMUM - 8,1.99,0.83,160,36,LOAM
SESAMUM - 8,1.96,0.88,170,38,LOAM
SESAMUM - 8,1.78,0.78,120,38,LOAM
SESAMUM - 8,1.83,0.62,110,40,LOAM
SESAMUM - 8,1.94,0.72,130,40,LOAM
SESAMUM - 8,1.97,0.78,170,40,LOAM
SESAMUM - 8,1.95,0.67,130,40,LOAM
SESAMUM - 8,1.9,0.72,180,38,LOAM
SESAMUM - 8,1.87,0.67,170,38,LOAM
SESAMUM - 8,1.84,0.78,190,36,LOAM
SESAMUM - 8,1.91,0.72,210,36,LOAM
SESAMUM - 8,1.89,0.78,180,38,LOAM
SESAMUM - 8,1.86,0.98,210,36,LOAM
SESAMUM - 8,1.87,0.98,140,38,LOAM
SESAMUM - 8,1.89,0.78,120,38,LOAM
SESAMUM - 8,1.9,0.88,130,38,LOAM
SESAMUM - 8,1.98,0.98,180,38,LOAM
SESAMUM - 8,1.9,0.67,170,36,LOAM
COTTON - 24,2.05,0.98,220,38,LOAM
COTTON - 24,2.14,0.67,200,38,LOAM
COTTON - 24,2.04,0.93,190,38,LOAM
COTTON - 24,2.1,0.88,200,36,LOAM
COTTON - 24,2.18,0.98,160,34,LOAM
COTTON - 24,2.11,0.88,180,36,LOAM
COTTON - 24,2.09,0.78,140,32,LOAM
COTTON - 24,2.12,0.98,150,34,LOAM
COTTON - 24,2.15,0.78,140,34,LOAM
COTTON - 24,2.18,0.83,190,34,LOAM
COTTON - 24,2.16,0.72,170,32,LOAM
COTTON - 24,2.23,0.63,130,36,LOAM
WHEAT - 22,2.21,0.62,180,36,LOAM
RICE - 16,2.84,0.72,170,38,LOAM
RICE - 16,2.41,0.67,190,40,LOAM
RICE - 16,2.87,0.67,190,38,LOAM
RICE - 16,2.48,0.78,160,36,LOAM
RICE - 16,2.53,0.72,130,36,LOAM
RICE - 16,2.37,0.62,200,38,LOAM
RICE - 16,2.36,0.72,150,36,LOAM
RICE - 16,2.41,0.93,170,40,LOAM
RICE - 16,2.54,0.72,120,38,LOAM
RICE - 16,2.48,0.78,120,42,LOAM
RICE - 16,2.58,0.62,150,40,LOAM
RICE - 16,2.42,1.03,150,38,LOAM
RICE - 16,2.46,0.72,170,38,LOAM
RICE - 16,2.48,0.67,130,36,LOAM
RICE - 16,2.6,0.57,100,36,LOAM
RICE - 16,2.54,0.62,100,36,LOAM
RICE - 16,2.66,0.67,150,38,LOAM
RICE - 16,2.67,0.72,170,38,LOAM
RICE - 16,2.46,0.93,210,38,LOAM
RICE - 16,2.64,0.98,100,38,LOAM
RICE - 16,2.67,0.57,110,38,LOAM
RICE - 16,2.73,0.78,120,36,LOAM
RICE - 16,2.74,0.52,120,38,LOAM
RICE - 16,2.86,0.67,150,36,LOAM
RICE - 16,2.78,0.88,140,36,LOAM
RICE - 16,2.79,0.78,140,36,LOAM
CARROT-5,2.15,0.57,130,34,LOAM
COTTON-22,2.42,0.78,120,38,LOAM
COTTON-22,2.46,0.83,60,38,LOAM
COTTON-22,2.39,0.72,100,38,LOAM
COTTON-22,2.47,0.62,90,38,LOAM
COTTON-22,2.42,0.72,100,40,LOAM
COTTON-22,2.16,0.57,100,40,LOAM
COTTON-22,2.23,0.57,120,36,LOAM
COTTON-22,2.19,0.78,130,36,LOAM
COTTON-22,2.27,0.52,140,40,LOAM
COTTON-22,2.2,0.41,100,36,LOAM
COTTON-22,2.17,0.62,70,36,LOAM
RICE-25,2.17,0.67,120,32,LOAM
RICE-25,2.2,0.62,130,36,LOAM
RICE-25,2.14,0.78,140,37,LOAM
RICE-25,2.3,0.98,120,36,LOAM
RICE-25,2.34,0.72,130,36,LOAM
RICE-25,2.39,0.57,140,38,LOAM
RICE-25,2.01,0.67,190,34,LOAM
RICE-25,2.09,0.67,200,36,LOAM
RICE-25,1.97,0.83,210,34,LOAM
RICE-25,1.9,0.78,250,37,LOAM
RICE-25,1.87,0.72,200,36,LOAM
RICE-25,1.98,0.67,280,37,LOAM
RICE-25,1.96,0.62,270,36,LOAM
RICE-25,2.07,0.72,200,38,LOAM
RICE-25,2.01,0.67,240,36,LOAM
PEPPER - 4,2.02,0.62,140,36,LOAM
Citrus -29,5.74,0.77,260,38,LOAM
Citrus -29,4.9,1.05,160,32,LOAM
Citrus -29,4.21,0.91,100,34,LOAM
Citrus -29,4.42,0.63,120,36,LOAM
Citrus -29,4.09,0.21,120,36,LOAM
Citrus -29,5.57,1.12,160,32,LOAM
Citrus -29,5.24,1.26,200,36,LOAM
Citrus -29,5.18,0.98,120,38,LOAM
Citrus -29,4.45,1.26,120,34,LOAM
Citrus -29,5.2,0.98,140,36,LOAM
Citrus -29,4.61,0.91,100,38,LOAM
Citrus -29,3.77,1.05,80,34,LOAM
Citrus -29,5.22,1.05,120,36,LOAM
Cotton -21,1.72,0.42,240,40,LOAM
Wheet-11,13.68,0.49,160,38,LOAM
Wheet-11,2.11,0.63,140,34,LOAM
Wheet-11,13.77,0.84,120,36,LOAM
Wheet-11,1.75,0.91,200,36,LOAM
Wheet-11,14.27,0.71,280,36,LOAM
Arind-19,1.33,0.98,120,38,LOAM
Arind-19,1.52,0.77,80,39,LOAM
Arind-19,1.21,0.77,60,38,LOAM
Arind-19,1.18,0.7,80,40,LOAM
Arind-19,1.25,0.77,160,39,LOAM
Arind-19,1.21,0.84,80,42,LOAM
Arind-19,1.32,0.7,140,41,LOAM
Arind-19,1.27,0.77,120,41,LOAM
Arind-19,1.39,0.91,100,38,LOAM
Arind-19,1.72,0.7,80,40,LOAM
Arind-19,1.77,0.49,140,38,LOAM
Arind-19,1.34,0.7,80,37,LOAM
Arind-19,1.19,0.7,100,42,LOAM
Arind-19,1.35,0.7,140,39,LOAM
Arind-19,1.36,0.7,80,38,LOAM
Arind-19,1.48,0.77,200,40,LOAM
Arind-19,1.6,0.91,180,36,LOAM
Arind-19,1.47,0.84,160,32,LOAM
Arind-19,1.84,0.98,140,35,LOAM
Arind-19,1.48,0.91,180,32,LOAM
Arind-19,1.84,0.91,200,36,LOAM
Arind-19,1.36,0.84,120,33,LOAM
Arind-19,1.2,0.77,100,35,LOAM
Arind-19,1.7,0.7,80,34,LOAM
Arind-19,1.39,0.56,100,34,LOAM
Arind-19,1.44,0.7,120,33,LOAM
Arind-19,1.48,0.77,80,39,LOAM
Arind-19,1.18,0.84,80,38,LOAM
Arind-19,1.5,0.7,60,35,LOAM
Arind-19,1.03,0.91,120,36,LOAM
Arind-19,1.2,91,180,34,LOAM
Arind-19,1.19,0.77,160,33,LOAM
Arind-19,1.25,0.77,120,32,LOAM
Wheet -11,1.18,0.84,160,34,LOAM
Wheet -11,2,1.12,100,44,LOAM
Wheet -11,2.16,0.98,100,43,LOAM
Wheet -11,1.69,0.7,80,40,LOAM
Wheet -11,1.48,0.56,80,34,LOAM
CARROT-05,1.6,0.57,130,38,LOAM
COTTON - 28,2.12,0.57,100,36,LOAM
COTTON - 28,2.36,0.57,90,38,LOAM
COTTON - 28,2.4,0.62,130,38,LOAM
COTTON - 28,2.24,0.67,140,40,LOAM
COTTON - 28,1.98,0.57,110,38,LOAM
COTTON - 28,1.87,0.62,130,42,LOAM
COTTON - 28,1.89,0.67,100,38,LOAM
COTTON - 28,2,0.72,140,40,LOAM
COTTON - 28,1.97,0.78,150,36,LOAM
COTTON - 28,1.96,0.88,190,38,LOAM
COTTON - 28,1.94,0.57,200,38,LOAM
COTTON - 28,1.9,0.57,210,36,LOAM
COTTON - 28,1.92,0.72,250,38,LOAM
COTTON - 28,2.1,1.03,180,42,LOAM
COTTON - 28,2.34,0.98,110,42,LOAM
TOMATO-19,2.28,0.52,150,38,LOAM
TOMATO-19,2.21,0.78,250,38,LOAM
TOMATO-19,2.24,0.88,140,38,LOAM
COTTON - 27,2.36,1.19,270,32,LOAM
COTTON - 27,1.98,0.72,100,34,LOAM
COTTON - 27,2.71,0.69,140,32,LOAM
COTTON - 27,2.57,0.83,103,32,LOAM
COTTON - 27,1.61,1.3,180,36,LOAM
COTTON - 27,1.66,0.78,190,34,LOAM
COTTON - 27,2.58,0.67,280,34,LOAM
COTTON - 27,2.73,1.03,200,38,LOAM
COTTON - 27,1.93,1.03,140,36,LOAM
COTTON - 27,2.21,1.29,300,34,LOAM
COTTON - 27,2.44,0.93,190,36,LOAM
COTTON - 27,5.51,0.83,210,38,LOAM
COTTON - 27,3.02,0.88,170,36,LOAM
COTTON - 27,5.18,1.03,140,32,LOAM
COTTON - 27,2.84,0.72,200,34,LOAM
COTTON - 27,3.03,0.78,180,36,LOAM
COTTON - 21,2.78,0.93,290,38,LOAM
COTTON - 21,1.76,0.88,140,34,LOAM
COTTON - 21,2.46,0.83,180,36,LOAM
COTTON - 21,2.6,0.78,170,38,LOAM
COTTON - 21,2.68,0.67,200,36,LOAM
COTTON - 21,2.64,0.62,130,32,LOAM
COTTON - 21,3.21,1.03,190,34,LOAM
COTTON - 21,3.5,0.72,180,34,LOAM
COTTON - 21,1.35,0.88,140,36,LOAM
COTTON - 21,1.47,0.78,90,38,LOAM
COTTON - 21,1.59,0.72,100,36,LOAM
COTTON - 21,1.21,0.98,70,36,LOAM
COTTON - 21,1.3,0.72,70,34,LOAM
COTTON - 21,10.6,0.72,160,32,LOAM
COTTON - 21,8.42,0.83,140,36,LOAM
COTTON - 21,7.5,0.78,200,38,LOAM
COTTON - 21,7.55,0.72,180,36,LOAM
COTTON - 21,10.2,0.98,140,38,LOAM
COTTON - 21,7.89,0.72,160,38,LOAM
COTTON - 21,2.74,0.88,190,34,LOAM
COTTON - 21,2.34,0.67,180,36,LOAM
COTTON - 21,1.66,0.72,140,38,LOAM
COTTON - 21,1.31,0.78,130,36,LOAM
COTTON - 21,1.36,1.03,240,38,LOAM
COTTON - 21,1.35,0.83,210,36,LOAM
COTTON - 21,2.85,0.72,140,34,LOAM
COTTON - 21,1.59,0.67,150,8.8,LOAM
COTTON - 21,1.29,0.62,180,38,LOAM
COTTON - 21,1.26,0.83,120,36,LOAM
COTTON - 21,1.18,0.93,140,40,LOAM
COTTON - 21,1.27,0.83,120,36,LOAM
COTTON - 21,1.17,0.78,180,32,LOAM
COTTON - 21,1.39,0.83,180,34,LOAM
CARROT-5,1.46,0.84,200,38,LOAM
CARROT-5,1.73,1.05,140,32,LOAM
CARROT-5,1.71,0.7,120,34,LOAM
CARROT-5,1.28,0.77,120,36,LOAM
CARROT-5,1.26,0.56,120,38,LOAM
CARROT-5,1.38,0.84,120,34,LOAM
CARROT-5,1.46,0.91,120,38,LOAM
CARROT-5,1.39,0.84,120,36,LOAM
CARROT-5,1.72,0.84,120,38,LOAM
CARROT-5,1.52,0.56,100,36,LOAM
CARROT-5,1.79,0.77,100,36,LOAM
CARROT-5,1.29,0.98,80,38,LOAM
CARROT-5,1.18,0.1,120,40,LOAM
CARROT-5,1.45,0.77,120,36,LOAM
CARROT-5,1.35,0.56,140,38,LOAM
CARROT-5,1.44,0.84,120,34,LOAM
CARROT-5,1.7,0.7,140,38,LOAM
CARROT-5,1.29,0.77,160,34,LOAM
CARROT-5,1.46,0.56,160,38,LOAM
CARROT-5,1.65,0.77,120,36,LOAM
CARROT-5,1.39,0.84,160,38,LOAM
CARROT-5,1.18,0.84,140,34,LOAM
CARROT-5,1.19,0.77,100,36,LOAM
CARROT-5,1.43,0.56,120,40,LOAM
CARROT-5,1.3,0.49,100,38,LOAM
CARROT-5,1.24,0.77,160,36,LOAM
CARROT-5,1.26,0.84,120,40,LOAM
Cotton-27,2.66,0.7,160,36,LOAM
Cotton-27,1.43,0.84,80,38,LOAM
Sugarcan-11,2.76,0.84,140,32,LOAM
Wheet-11,14.37,0.84,180,34,LOAM
Wheet-11,14.58,0.98,120,36,LOAM
Wheet-11,13.12,0.7,100,36,LOAM
Wheet-11,1.91,0.91,100,34,LOAM
Wheet-11,2.43,0.91,240,34,LOAM
Wheet-11,2.06,0.98,220,33,LOAM
Cotton-,2.55,0.7,200,35,LOAM
Shugarcane-11,1.59,0.98,60,42,LOAM
RICE - 20,1.37,0.67,180,34,LOAM
RICE-32,3.41,0.62,170,36,LOAM
RICE-32,3.29,0.72,180,38,LOAM
RICE-32,3.78,0.52,150,34,LOAM
RICE-32,3.4,0.62,150,38,LOAM
WHEAT-20,1.97,0.47,60,36,LOAM
WHEAT-21,2.38,0.52,270,34,LOAM
WHEAT-21,2.14,0.57,190,34,LOAM
WHEAT-21,2.13,0.78,210,36,LOAM
WHEAT-21,2.15,0.62,180,34,LOAM
WHEAT-21,2.22,0.82,120,36,LOAM
WHEAT-21,2.19,0.78,150,38,LOAM
CHILLI-4,2.22,0.98,110,39,LOAM
Wheet -32,1.78,0.77,80,40,LOAM
Wheet -32,1.6,0.7,100,41,LOAM
Wheet -32,1.77,0.7,100,38,LOAM
Wheet -32,1.92,0.63,80,37,LOAM
Wheet -32,2.06,1.12,140,40,LOAM
Wheet -32,3.27,0.98,80,39,LOAM
Wheet -32,3.36,0.91,120,40,LOAM
Wheet -32,3.43,0.98,100,42,LOAM
Wheet -32,2.55,0.98,100,40,LOAM
Wheet -21,2.23,0.91,100,40,LOAM
Wheet -21,1.93,0.7,60,42,LOAM
Wheet -21,3.49,0.84,80,41,LOAM
Wheet -21,1.99,1.05,100,36,LOAM
Wheet -21,2.08,0.98,140,38,LOAM
Wheet -21,2.54,0.91,80,36,LOAM
Wheet -21,1.95,1.05,200,38,LOAM
Wheet -21,6.01,0.98,100,38,LOAM
TOMATO -12,2.18,0.62,100,34,LOAM
TOMATO -12,1.87,0.57,130,38,LOAM
TOMATO -12,2.07,0.52,120,34,LOAM
TOMATO -12,1.94,0.67,140,36,LOAM
TOMATO -12,2.13,0.41,200,34,LOAM
TOMATO -12,1.98,0.52,180,34,LOAM
TOMATO -12,2.29,0.57,200,36,LOAM
TOMATO -12,1.82,0.67,230,36,LOAM
COTTON - 21,2.9,0.72,150,38,LOAM
COTTON - 21,2.03,0.67,120,36,LOAM
COTTON - 21,1.97,0.52,170,34,LOAM
COTTON - 21,1.93,0.67,140,34,LOAM
COTTON - 21,1.95,0.88,150,38,LOAM
COTTON - 21,2.06,0.72,120,36,LOAM
COTTON - 21,1.87,0.78,150,38,LOAM
COTTON - 21,1.92,0.67,110,36,LOAM
COTTON - 21,1.98,0.67,100,34,LOAM
COTTON - 21,2.01,0.57,120,40,LOAM
COTTON - 21,2.07,0.72,120,36,LOAM
Wheet-11,2.42,0.21,200,36,LOAM
Wheet-11,1.92,0.77,160,38,LOAM
Wheet-11,2.63,0.7,140,36,LOAM
Wheet-11,2.85,0.84,260,32,LOAM
Wheet-11,12.41,0.63,200,34,LOAM
TOMATO - 23,1.09,0.72,140,32,LOAM
TOMATO - 23,1.13,0.62,190,34,LOAM
TOMATO - 23,2.28,0.67,150,32,LOAM
TOMATO - 23,1.88,0.72,150,34,LOAM
TOMATO - 23,1.96,0.78,130,36,LOAM
TOMATO - 23,2.19,0.72,150,38,LOAM
TOMATO - 23,1.22,0.78,140,36,LOAM
TOMATO - 23,2.04,0.67,200,36,LOAM
TOMATO - 23,2.24,0.67,190,38,LOAM
TOMATO - 23,2.38,0.67,200,36,LOAM
TOMATO - 23,2.13,0.57,250,32,LOAM
TOMATO - 23,1.97,0.62,100,36,LOAM
TOMATO - 23,1.92,0.83,180,40,LOAM
TOMATO - 23,1.99,0.67,150,38,LOAM
TOMATO - 23,1.92,0.62,140,38,LOAM
TOMATO - 23,1.95,0.72,130,36,LOAM
TOMATO - 23,2.03,0.67,170,40,LOAM
TOMATO - 23,1.93,0.78,140,38,LOAM
TOMATO - 23,2.02,0.62,130,36,LOAM
TOMATO - 23,1.96,0.67,150,36,LOAM
TOMATO - 23,1.94,0.72,190,38,LOAM
TOMATO - 23,2.13,0.72,170,38,LOAM
TOMATO - 23,2.06,0.78,130,40,LOAM
TOMATO - 23,1.95,0.67,130,38,LOAM
TOMATO - 23,2.02,0.78,170,36,LOAM
TOMATO - 23,1.98,0.72,140,36,LOAM
TOMATO - 23,1.96,0.88,150,38,LOAM
TOMATO - 23,2.04,0.78,190,40,LOAM
TOMATO - 23,2.01,0.98,180,40,LOAM
TOMATO - 23,2.04,0.98,200,40,LOAM
TOMATO - 23,2.48,0.88,140,40,LOAM
Patato-31,1.24,0.77,100,36,LOAM
Patato-31,1.27,0.56,80,36,LOAM
Patato-31,1.25,0.63,120,34,LOAM
Patato-31,1.3,0.49,120,36,LOAM
Patato-31,1.27,0.77,100,32,LOAM
Patato-31,1.17,0.56,80,36,LOAM
Patato-31,1.04,0.77,140,38,LOAM
Patato-31,1.1,0.7,100,36,LOAM
Patato-31,1.12,0.84,140,34,LOAM
Patato-31,1.15,0.91,200,36,LOAM
Patato-31,0.99,0.91,180,34,LOAM
Tamato-3,1.58,0.77,200,36,LOAM
COTTON - 24,1.96,0.78,140,34,LOAM
CANOLA - 28,2.34,0.62,170,36,LOAM
WHEAT - 28,2.16,0.72,190,38,LOAM
CARROT-5,2.15,0.57,130,34,LOAM
COTTON-22,2.42,0.78,120,38,LOAM
COTTON-22,2.46,0.83,60,38,LOAM
COTTON-22,2.39,0.72,100,38,LOAM
COTTON-22,2.47,0.62,90,38,LOAM
COTTON-22,2.42,0.72,100,40,LOAM
COTTON-22,2.16,0.57,100,40,LOAM
COTTON-22,2.23,0.57,120,36,LOAM
COTTON-22,2.19,0.78,130,36,LOAM
COTTON-22,2.27,0.52,140,40,LOAM
COTTON-22,2.2,0.41,100,36,LOAM
COTTON-22,2.17,0.62,70,36,LOAM
COTTON-22,2.4,0.41,90,36,LOAM
WHEAT-20,1.97,0.47,60,36,LOAM
WHEAT-11,2.21,0.62,100,34,LOAM
WHEAT-11,2.3,0.67,100,36,LOAM
CARROT-5,2.45,0.84,200,34,LOAM
CARROT-5,2.25,1.05,200,38,LOAM
CARROT-5,2.3,1.05,160,34,LOAM
CARROT-5,4.14,0.77,160,36,LOAM
CARROT-5,2.75,0.7,120,38,LOAM
CARROT-5,3.19,0.77,120,34,LOAM
CARROT-5,2.71,0.84,140,40,LOAM
CARROT-5,2.67,0.91,140,36,LOAM
CARROT-5,3.24,0.7,80,38,LOAM
CARROT-5,3.93,0.91,200,36,LOAM
CARROT-5,3.69,0.77,200,38,LOAM
CARROT-5,2.66,0.77,200,40,LOAM
WHEAT-11,2.21,0.62,100,34,LOAM
WHEAT-11,2.3,0.67,100,36,LOAM
CITRUS-27,1.98,0.67,160,38,LOAM
CITRUS-27,1.87,0.72,140,38,LOAM
CITRUS-27,1.88,0.78,140,36,LOAM
CITRUS-27,2.04,0.83,110,38,LOAM
CITRUS-27,2.1,0.78,120,36,LOAM
CITRUS-27,2.23,0.83,170,36,LOAM
CITRUS-27,2.03,0.57,200,34,LOAM
CITRUS-27,1.92,0.52,150,36,LOAM
CITRUS-27,2.22,0.72,250,38,LOAM
CITRUS-27,2.05,0.78,180,40,LOAM
CITRUS-27,2.2,0.72,180,36,LOAM
CITRUS-27,1.99,0.67,170,40,LOAM
CITRUS-27,2.15,0.78,210,40,LOAM
CITRUS-27,2.05,0.72,140,38,LOAM
CITRUS-27,1.78,0.62,150,36,LOAM
CITRUS-27,1.7,0.67,170,38,LOAM
CITRUS-27,1.67,0.72,150,36,LOAM
CITRUS-27,1.91,0.78,190,40,LOAM
CITRUS-27,1.84,0.83,150,38,LOAM
CITRUS-27,1.76,0.62,190,36,LOAM
CITRUS-27,1.93,0.88,180,38,LOAM
CITRUS-27,1.98,0.78,170,36,LOAM
CITRUS-27,1.85,0.78,140,38,LOAM
CITRUS-27,1.96,0.83,120,32,LOAM
CITRUS-27,1.92,0.88,140,34,LOAM
CITRUS-27,1.77,0.93,190,36,LOAM
CITRUS-27,1.84,0.78,150,38,LOAM
CITRUS-27,1.89,0.83,110,36,LOAM
CITRUS-27,1.9,0.78,140,40,LOAM
CITRUS-27,2.03,0.72,170,38,LOAM
CITRUS-27,1.91,0.78,100,36,LOAM
CITRUS-27,1.75,0.83,150,38,LOAM
CITRUS-27,1.87,0.83,150,36,LOAM
CITRUS-27,1.93,0.67,170,38,LOAM
CITRUS-27,1.77,0.57,160,36,LOAM
CITRUS-27,2.12,0.67,190,36,LOAM
CITRUS-27,2.21,0.62,140,36,LOAM
CITRUS-27,2.06,0.67,110,38,LOAM
CITRUS-27,1.9,0.72,190,40,LOAM
CITRUS-27,2.13,0.67,120,38,LOAM
CITRUS-27,1.91,0.88,140,36,LOAM
CITRUS-27,2.15,0.88,210,36,LOAM
CITRUS-27,2.13,0.78,220,38,LOAM
CITRUS-27,2.02,0.67,170,36,LOAM
CITRUS-27,2.07,0.88,230,38,LOAM
CITRUS-27,2.16,0.78,200,36,LOAM
CITRUS-27,2.27,0.62,190,38,LOAM
CITRUS-27,2.02,0.72,180,36,LOAM
CITRUS-27,1.98,0.78,190,38,LOAM
CITRUS-27,2.1,0.67,200,36,LOAM
CITRUS-27,1.9,0.72,110,38,LOAM
CITRUS-27,2.09,0.88,220,36,LOAM
CITRUS-27,2.08,0.78,190,34,LOAM
CITRUS-27,2.09,0.88,200,38,LOAM
CITRUS-27,1.97,0.67,220,40,LOAM
CITRUS-27,2.03,0.78,180,36,LOAM
CITRUS-27,2.1,0.67,210,38,LOAM
CITRUS-27,2.03,0.78,170,38,LOAM
CITRUS-27,2.11,0.67,180,36,LOAM
CITRUS-27,1.98,0.72,190,38,LOAM
CITRUS-27,1.99,0.78,210,36,LOAM
CITRUS-27,1.96,0.88,170,38,LOAM
CITRUS-27,2.1,0.67,190,36,LOAM
CITRUS-27,2.11,0.78,160,38,LOAM
CITRUS-27,2.17,0.72,170,40,LOAM
CITRUS-27,2.1,0.72,140,38,LOAM
CITRUS-27,2.13,0.67,180,38,LOAM
CITRUS-27,1.89,0.52,130,36,LOAM
CITRUS-27,2.1,0.72,150,38,LOAM
CITRUS-27,2.04,0.62,120,40,LOAM
CITRUS-27,1.99,0.52,110,36,LOAM
CITRUS-27,2.1,0.78,180,38,LOAM
CITRUS-27,2.14,0.72,150,40,LOAM
CITRUS-27,2.02,0.67,170,38,LOAM
CITRUS-27,2.13,0.88,130,40,LOAM
CITRUS-27,1.98,0.78,150,38,LOAM
CITRUS-27,1.89,0.88,190,40,LOAM
